Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date,Topic,Sentiment,Sub_Topic,sentiment
Morocco,Taroudant,CREDIT AGRICOLE DU MAROC,Not available,"CREDIT AGRICOLE DU MAROC - Agricole - Agence Taroudant F4Fm+Q95, N10, Taroudant",http://www.creditagricole.ma/,Hosni Abdelilah,1,"Personnes ne réponds au téléphone, j'ai essayé de les appeler plusieurs jours ça sonne sans réponse .
C'est dommage",2020-08-12 00:58:13.786689,1,https://www.google.com/maps/contrib/115015313396979469770/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Temps d'attente,negative,"['personnes ne répondent au téléphone', 'essais de les appeler plusieurs jours']",negative
Morocco,Taroudant,CREDIT AGRICOLE DU MAROC,Not available,"CREDIT AGRICOLE DU MAROC - Agricole - Agence Taroudant F4Fm+Q95, N10, Taroudant",http://www.creditagricole.ma/,Mobi Sud,3,3* Pour Le Crédit Agricole,2017-08-13 00:58:13.786693,0,https://www.google.com/maps/contrib/101314520355352117280/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,ouverture de compte,positive,"['dificile', 'longue attente']",positive
Morocco,Taroudant,CREDIT AGRICOLE DU MAROC,Not available,"CREDIT AGRICOLE DU MAROC - Agricole - Agence Taroudant F4Fm+Q95, N10, Taroudant",http://www.creditagricole.ma/,Oussama Elbaby,1,Mauvais service,2021-08-12 00:58:13.786696,0,https://www.google.com/maps/contrib/105409921977818305012/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Service client,negative,['Mauvais'],negative
Morocco,Taroudant,CREDIT AGRICOLE DU MAROC,Not available,"CREDIT AGRICOLE DU MAROC - Agricole - Agence Taroudant F4Fm+Q95, N10, Taroudant",http://www.creditagricole.ma/,Meta Fellah,1,"Service épouvantable, l'agent de banque est parti en vacances et je dois attendre son retour pour créer notre compte bancaire coopératif. C'est tout simplement inacceptable, la personne qui la remplace n'a pas pu faire le travail car elle a la flemme de chercher mon dossier ! C'est pourquoi il m'a dit d'attendre.",2023-08-12 00:58:13.786700,0,https://www.google.com/maps/contrib/108100090891007244267/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Temps d'attente,negative,"['Attente longue', 'Inacceptable']",negative
Morocco,Taroudant,CREDIT AGRICOLE DU MAROC,Not available,"CREDIT AGRICOLE DU MAROC - Agricole - Agence Taroudant F4Fm+Q95, N10, Taroudant",http://www.creditagricole.ma/,Yassine Elouali,1,Très mauvaise expérience,2023-08-12 00:58:13.786704,0,https://www.google.com/maps/contrib/114473564092171234270/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Service client,negative,"['Mauvaise expérience', 'Problèmes avec les services']",negative
Morocco,Taroudant,CREDIT AGRICOLE DU MAROC,Not available,"CREDIT AGRICOLE DU MAROC - Agricole - Agence Taroudant F4Fm+Q95, N10, Taroudant",http://www.creditagricole.ma/,Othmane Outbib,5,Très bonne expérience,2020-08-12 00:58:13.786707,0,https://www.google.com/maps/contrib/116643614223317802883/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,très bonne expérience,positive,"['rapide', 'simple']",positive
Morocco,Taroudant,CREDIT AGRICOLE DU MAROC,Not available,"CREDIT AGRICOLE DU MAROC - Agricole - Agence Taroudant F4Fm+Q95, N10, Taroudant",http://www.creditagricole.ma/,سعد العجمي,5,Très bonne expérience,2019-08-13 00:58:13.786711,0,https://www.google.com/maps/contrib/108757600766231167530/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Expérience utilisateur,positive,"['Simple', 'Rapide']",positive
Morocco,Taroudant,BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE,05285-59620,"BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE - Kissariat Habous, Av. Bir Anzarane, Taroudant 83000",https://www.bmci.ma/,Sid Moussaoui,1,Il prétend fermer à 15h45 15h30 les rideaux sont baissés comment voulez-vous qu’on avance,2024-07-12 00:58:13.786754,0,https://www.google.com/maps/contrib/116437642027532670582/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Sécurité des heures de travail,negative,"['Fermeture précoce', 'Manque de motivation']",negative
Morocco,Taroudant,BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE,05285-59620,"BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE - Kissariat Habous, Av. Bir Anzarane, Taroudant 83000",https://www.bmci.ma/,Mobi Sud,4,Banque Au Centre Ville Dans Un Endroit Sur Meme La Nuit,2017-08-13 00:58:13.786758,0,https://www.google.com/maps/contrib/101314520355352117280/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Sécurité,positive,"['vol', ""dixième d'heure""]",positive
Morocco,Taroudant,BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE,05285-59620,"BANQUE MAROCAINE POUR LE COMMERCE ET L’INDUSTRIE - Kissariat Habous, Av. Bir Anzarane, Taroudant 83000",https://www.bmci.ma/,Sven,3,ATM max 2000MAD et pas beaucoup de support,2018-08-13 00:58:13.786761,1,https://www.google.com/maps/contrib/105563051746213467319/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,ATM max 2000MAD,positive,['limit élevé'],positive
