Country,Town,Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Name,Reviewer_Star,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profile_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date,Topic,Sentiment,Sub_Topic,sentiment,category,category_2
Morocco,Taroudant,BANQUE CENTRALE POPULAIRE MAROC,+212 5288-52588,"BANQUE CENTRALE POPULAIRE - Banque Populaire F4Fm+H48, N10, Taroudant",http://www.gbp.ma/,Hamza Izourane,4,"L'emplacement est bien situé, il est facile de trouver un parking devant la banque. Les employés traitent bien les clients. á l'extérieur 2 guichets automatique sont disponibles.",2018-08-13 00:58:13.786458,0,https://www.google.com/maps/contrib/107109936786970075974/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Localisation et accessibilité,positive,"emplacement bien situé, facile de trouver un parking",positive,Localisation et Accessibilité,Localisation et Accessibilité
Morocco,Taroudant,BANQUE CENTRALE POPULAIRE MAROC,+212 5288-52588,"BANQUE CENTRALE POPULAIRE - Banque Populaire F4Fm+H48, N10, Taroudant",http://www.gbp.ma/,Imjou Fad,5,"Très bon accueil, le vigile très serviable et souriant, et un 👍🏻 pour Nadia professionnelle et sympathique. Je vous recommande cette agence. …",2023-08-12 00:58:13.786474,0,https://www.google.com/maps/contrib/114232369346465396488/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Service client,positive,"Accueil bienvenu, Vigile serviable et souriant",positive,Service Client,Service Client
Morocco,Taroudant,BANQUE CENTRALE POPULAIRE MAROC,+212 5288-52588,"BANQUE CENTRALE POPULAIRE - Banque Populaire F4Fm+H48, N10, Taroudant",http://www.gbp.ma/,Mobi Sud,4,La Banque Au Cheval,2017-08-13 00:58:13.786484,1,https://www.google.com/maps/contrib/101314520355352117280/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Frais bancaires,positive,élevés,positive,Frais et Tarifs,Frais et Tarifs
Morocco,Taroudant,BANQUE CENTRALE POPULAIRE MAROC,+212 5288-52588,"BANQUE CENTRALE POPULAIRE - Banque Populaire F4Fm+H48, N10, Taroudant",http://www.gbp.ma/,Patxi,4,"Il y a peu de guichets automatiques dans la région de Taroudan, ce bureau en a 2 et généralement les deux fonctionnent.
Le changement est un peu cher",2021-08-12 00:58:13.786488,1,https://www.google.com/maps/contrib/100636494551370505297/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,guichets automatiques,positive,"fonctionnels, abondants",positive,guichets automatiques,Guichet automatique
Morocco,Taroudant,BANQUE CENTRALE POPULAIRE MAROC,+212 5288-52588,"BANQUE CENTRALE POPULAIRE - Banque Populaire F4Fm+H48, N10, Taroudant",http://www.gbp.ma/,Abdel Amah,5,Merci beaucoup pour votre excellent service.,2019-08-13 00:58:13.786492,1,https://www.google.com/maps/contrib/112462449891050901107/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Satisfaction client,positive,excellent service,positive,Satisfaction Générale,Satisfaction Générale
Morocco,Taroudant,BANQUE CENTRALE POPULAIRE MAROC,+212 5288-52588,"BANQUE CENTRALE POPULAIRE - Banque Populaire F4Fm+H48, N10, Taroudant",http://www.gbp.ma/,Brahim Benhassi,3,Banque Populaire et agence environnante,2023-12-15 00:58:13.786496,1,https://www.google.com/maps/contrib/111437860401817117579/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Service clientèle,positive,"Réactif, Rapide",positive,Service Client,Service Client
Morocco,Taroudant,BANQUE CENTRALE POPULAIRE MAROC,+212 5288-52588,"BANQUE CENTRALE POPULAIRE - Banque Populaire F4Fm+H48, N10, Taroudant",http://www.gbp.ma/,Ainar S Bl,5,Le guichet automatique accepte la majorité des cartes,2020-08-12 00:58:13.786505,0,https://www.google.com/maps/contrib/105757274915629282279/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,cartes bancaires,positive,majorité des cartes,positive,cartes bancaires,Autre
Morocco,Taroudant,BANQUE CENTRALE POPULAIRE MAROC,+212 5288-52588,"BANQUE CENTRALE POPULAIRE - Banque Populaire F4Fm+H48, N10, Taroudant",http://www.gbp.ma/,Nebbou Mohcine,5,Très bonne expérience,2024-02-13 00:58:13.786511,0,https://www.google.com/maps/contrib/106066898227914348994/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Service client,positive,"réactif, résolution rapide de problèmes",positive,Service Client,Service Client
Morocco,Taroudant,BANQUE CENTRALE POPULAIRE MAROC,+212 5288-52588,"BANQUE CENTRALE POPULAIRE - Banque Populaire F4Fm+H48, N10, Taroudant",http://www.gbp.ma/,Youssef Ayoubi,5,Très bonne expérience,2023-08-12 00:58:13.786516,0,https://www.google.com/maps/contrib/111256811191553796223/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,expérience client,positive,bonne,positive,Expérience Utilisateur,Expérience Utilisateur
Morocco,Taroudant,BANQUE CENTRALE POPULAIRE MAROC,+212 5288-52588,"BANQUE CENTRALE POPULAIRE - Banque Populaire F4Fm+H48, N10, Taroudant",http://www.gbp.ma/,Omar Roudany,4,Bonne expérience,2020-08-12 00:58:13.786524,0,https://www.google.com/maps/contrib/105352695682059796043/reviews?hl=fr,Nothing,1970-01-01 00:00:00.000000,Service client,positive,receptif,positive,Service Client,Service Client
